file;target;Time;Otype;Sdate;Stime;Stype;Qs;Vmean;VmeanC;Vmax;tVmax;Bmax;tBmax;VmBm;Bzmin;Abzmax;BzmtoBm;Ktmax;tKTmax;Ktmin;tKTmin;Bemax;tBemax;Bemin;tBemin;Rbulk;B2Sum;Magn;MagnM;MagnC;Tmin;TminM;Dmin;tDmin;DminM;tDminM;Dmax;tDmax;AftoB;tBef;tAft;tFrom;Kpmax;Apmax;Dstmin;tDstmin;Xmagn;Hlat;Alat;Hlon;Sdur;Axym;Txymax;Axm;Aym;Azrange;Pxym;Axdm;Aydm;Azdm;Axydm;Pxydm;D01;D02;AD02;Axb;Ayb;Azb;Axyb;Pxyb;Ax0;Ay0;Az0;Axy0;Pxy0;Ax1;Ay1;Az1;Axy1;Pxy1;dx1b;dy1b;dz1b;dxy1b;dA11b;Adz1b;dPxy1b;Pdxy1b;DP1b;CMEwidth;Ind;GLE;SSN
199811070815;3;0,34;1;36103;0,3;2;4;569;569;537;5;15,7;17;4,22;-11,6;11,6;0,74;2,89;0;0,08;16;3,99;1;0,05;17;2,34;1,86;0,8;2,6;0,8;1;17;-0,45;16;-0,62;16;0,48;3;0,05;58,3;20,6;20,6;7,67;48;-92;7;0;17;17;1;18;1,66;19;1,53;0,65;5,8;23;-0,18;-0,78;-4,68;0,8;257;-0,32;-0,32;0,32;0,47;0,54;0,54;0,72;49;0,72;0,99;0,18;1,22;54;-0,02;0,71;0,19;0,71;91,6;-0,49;0,17;-0,35;0,52;0,63;0,35;-69,3;160,9;43,7;360;77;0;135
199811080451;1;0,2;1;36104;0,79;1;4;718;734;639;3;35,4;2;11,31;-13,2;23,7;0,67;1,4;18;0,11;38;0,81;30;0,06;1;270,24;18,75;7,4;6,1;7,4;22;22;-1,58;7;-1,41;7;1,02;-1;0,21;20,6;64,2;20,6;7,67;179;-148;1;0;22;22;18;72;5,06;4;2;4,65;4;66,7;1;4,48;-1,49;4,59;77,4;-0,28;-1,2;1,2;1,53;0,65;0,04;1,66;23;1,93;0,46;1,33;1,98;13,4;2,07;1,34;0,76;2,47;32,9;0,54;0,69;0,72;0,88;1,13;0,72;-19;52;18,5;360;77;0;121
199811130143;3;0,07;1;36108;0,82;2;4;532;518;428;39;21,3;33;4,56;-17,6;17,6;0,83;4,28;39;0,33;24;2,22;-9;0,11;12;171,12;8,81;2,3;5,1;2,3;34;34;-0,61;8;-0,6;8;0,46;15;0,11;52,7;58,3;52,7;6;80;-133;16;0;23;23;10;61;1,88;2;-0,34;-1,85;5,29;259,6;0,42;-0,78;-0,51;0,89;298,3;-0,26;-0,4;0,4;0,13;0,58;0,02;0,59;77,4;0,05;0,06;-3,95;0,08;50,2;0,04;-0,93;-4,04;0,93;272,5;-0,09;-1,51;-4,06;1,51;4,33;4,06;5,9;266,6;104,4;190;77;0;116
199811300507;1;0,21;1;36126;0,31;1;4;596;600;499;31;14;5;3,49;-7,8;9;0,64;1,56;9;0,19;20;8,86;-10;0,32;11;22,56;4,05;1,1;1,3;1,1;7;22;-0,29;17;-0,26;17;0,2;-2;0,08;103,1;46,4;46,4;4,33;32;-23;34;0;-24;24;-9;36;1,48;42;0,19;1,47;1,76;82,6;0,89;0,19;-0,52;0,91;12,1;0;0,15;0,15;0,03;0,75;-0,74;0,75;87,7;0,05;0,58;-0,85;0,58;85,1;0,43;0,4;-0,68;0,59;42,9;0,4;-0,35;0,06;0,53;0,53;0,06;84,1;318,8;30,5;360;77;0;130
199812281826;1;0,77;1;36154;0,23;1;3;489;0;446;42;14,7;1;3,28;-7;7;0,48;2,09;-9;0,28;26;3,43;10;0,26;26;26,74;4,54;1,4;1,4;1,4;8;8;-0,4;5;-0,33;5;0,36;0;0,1;88,4;69,6;69,6;5;48;-53;15;0;30;30;-66;116;1,75;4;-0,53;1,67;1,01;107,6;-0,58;1,38;0,13;1,5;112,8;0,39;0,36;0,36;-0,69;0,39;0,42;0,79;150,5;-0,8;0,41;0,61;0,9;152,9;-0,82;0,55;0,6;0,99;146,1;-0,13;0,16;0,18;0,21;0,27;0,18;17,1;129,1;5,1;0;77;0;176
199902170709;1;0,3;1;36205;0,42;1;4;601;605;492;2;13,3;1;3,27;-10,2;10,2;0,77;2,55;5;0,24;-6;1,57;4;0,33;1;25,27;2,34;1,3;2,4;1,3;16;14;-0,3;3;-0,44;2;0,16;17;0,1;71,2;19,6;19,6;5;48;-38;5;0;17;17;-5;71;1,41;6;0,24;1,39;1,67;80,2;0,58;0,3;0,17;0,65;27,3;-0,04;-0,26;0,26;0,67;-0,15;-0,45;0,69;347,4;0,65;0,08;-0,25;0,65;7;0,88;0,1;0,4;0,89;6,5;0,21;0,25;0,85;0,33;0,91;0,85;-43,5;50;60,4;147;77;0;181
199902180246;2;0,12;1;36207;0,12;1;4;867;0;673;12;28,3;6;9,52;-24,2;24,2;0,86;2,57;2;0,08;15;2,9;36;0,1;5;159,28;13,08;5,2;8,2;5,2;15;14;-1,15;10;-1,18;10;0,6;1;0,18;19,6;116,2;19,6;6,67;111;-134;11;0;-23;23;14;56;3,08;3;0,65;3,01;3,08;77,8;0,97;0,83;1,03;1,28;40,6;0,37;-0,17;0,17;0,23;0,14;-0,45;0,27;31,3;-0,1;1,52;0,14;1,52;93,8;0,42;2,55;1,39;2,58;80,6;0,19;2,41;1,84;2,42;3,04;1,84;-4,8;85,5;96,4;0;77;0;155
199903100130;1;0,06;1;36226;0,16;1;4;597;609;463;4;11,7;2;2,71;-7,8;7,8;0,67;2,03;-10;0,11;21;9,18;39;0,27;31;15,61;2,58;0,8;1,8;0,8;8;5;-0,36;8;-0,29;1;0,21;12;0,07;77,5;61,5;61,5;6,33;94;-78;6;0;-24;24;3;21;1,34;22;1,25;0,48;1,24;21;0,62;0,53;4,79;0,82;40,5;-0,12;-0,14;0,14;0,33;-0,05;4,77;0,33;351,4;0,35;0,3;4,76;0,46;40,6;0,22;-0,02;4,54;0,22;354,8;-0,11;0,03;-0,23;0,11;0,26;0,23;-169,9;164,7;1,2;31;77;0;92
199904161125;3;0,48;1;0;0;2;4;0;515;462;4;24,6;22;5,68;-15,2;15,2;0,62;4,14;45;0,18;27;18,24;3;0,07;21;4,19;1,89;2,3;2,5;2,3;3;64;-0,27;38;-0,3;59;0,46;11;0,09;49,4;70,6;49,4;7,33;154;-105;16;0;24;24;10;185;1,51;48;0,65;1,36;1,34;64,5;0,08;0,36;-0,23;0,37;77,5;-0,17;-0,24;0,24;0,62;0,37;-0,71;0,72;30,8;0,71;0,72;-0,71;1,01;45,4;0,62;0,65;-0,85;0,9;46,4;0;0,28;-0,14;0,28;0,31;0,14;-43,6;90;11,2;261;77;0;98
199905051543;1;0,65;1;36283;0,23;1;4;715;715;492;13;10,5;4;2,58;-4,5;4,6;0,44;2,89;10;0,74;-5;8,9;5;0,38;10;36,86;1,88;2,9;3,2;2,9;34;35;-0,34;0;-0,29;10;0,19;-4;0,28;169,7;102,3;102,3;3;15;-16;36;0;15;15;-32;56;1,52;19;-0,27;1,5;2,15;100,2;-0,81;0,71;-1,47;1,08;138,8;-0,63;-0,44;0,44;-0,61;0,59;-1,3;0,85;136;-0,81;0,71;-1,47;1,08;138,8;-0,59;0,66;-1,52;0,89;131,8;0,02;0,07;-0,22;0,07;0,23;0,22;57,7;74,1;3,6;360;0;0;124
199905180056;1;0,04;1;36294;0,16;2;3;446;457;658;20;23,4;4;7,7;-12,8;21;0,9;7,18;4;0,4;25;3,11;0;0,46;3;20,22;8,33;1,4;1,8;1,4;3;7;-0,33;1;-0,27;3;0,21;4;0,06;39,9;114,1;39,9;5;48;-26;26;0;-18;18;36;18;1,53;27;1,05;1,11;1,57;46,6;0,3;0,68;-0,57;0,74;66,2;-0,51;-0,58;0,58;0,01;0,78;-0,3;0,78;89,3;0,15;0,6;-0,45;0,62;76;0,3;0,68;-0,57;0,74;66,2;0,29;-0,1;-0,27;0,31;0,41;0,27;85,2;341;25,9;46;0;0;131
199906260325;2;0,14;1;36333;0,73;1;3;508;511;356;1;15,3;8;2,72;-8,3;8,3;0,54;3,02;1;0,67;4;4,4;-10;0,46;7;31,8;5,28;0,9;1,6;0,9;10;11;-0,24;2;-0,21;2;0,21;4;0,06;89,4;16,9;16,9;4,67;22;-20;7;0;22;22;-37;77;0,93;0;0,63;0,68;1,07;47,2;0,16;-0,07;-0,34;0,17;336,4;0,18;-0,06;0,06;0,47;0,45;0,36;0,65;43,8;0,63;0,68;0,07;0,93;47,2;0,42;0,32;-0,31;0,53;37,3;-0,05;-0,13;-0,67;0,14;0,68;0,67;148,3;249;59,7;360;0;0;274
199906262016;1;0,84;1;36335;0,5;1;3;739;0;591;28;23,8;2;7,03;-5,1;12,6;0,53;12,56;4;0,26;26;2,69;5;0,18;27;96,65;4,55;3,2;4;3,2;30;30;-0,52;0;-0,5;1;0,26;15;0,13;16,9;32,9;16,9;6;56;-24;16;0;29;29;13;186;2,73;3;-0,09;2,73;1,91;91,9;0,58;0,9;-0,39;1,07;57,2;-0,83;-1,12;1,12;0,47;0,31;-0,31;0,56;33,4;0,58;0,9;-0,39;1,07;57,2;0,75;1,48;0,17;1,66;63,1;0,28;1,17;0,48;1,2;1,3;0,48;-13,4;76,5;45;0;77;0;274
199906280511;1;0,22;1;1;0,3;1;3;904;902;866;0;16,7;-1;7,23;-3,2;11,1;0,67;1,4;42;0,08;0;1,07;1;0,1;5;-1;-1;1,4;1;1,4;-2;-2;-0,17;40;-0,31;66;0,48;0;0,08;32,9;91,8;32,9;6;80;-43;4;0;25;25;0;35;1,09;7;0,42;1,01;0,75;67,4;0,84;0,47;0,08;0,96;29,2;0,83;0,95;0,95;0,3;0,33;-0,31;0,45;47,7;0,29;0,54;-0,24;0,61;61,8;0,35;0,57;-0,21;0,67;58,4;0,05;0,24;0,1;0,25;0,26;0,1;-19,8;78,2;19,8;360;0;0;254
199907020059;1;0,04;1;36340;0,21;1;3;611;629;673;20;10,1;4;3,4;-5,4;7,2;0,71;2;1;0,16;35;2;22;0,22;42;31,72;2,29;1,1;2;1,1;15;21;-0,39;2;-0,36;2;0,4;30;0,11;91,8;110,2;91,8;5;48;-34;31;0;18;18;-7;16;1,58;8;1,56;0,25;6,15;9,1;0,28;1,14;0,34;1,17;76,2;-0,17;-0,57;0,57;0,38;0,32;-0,01;0,5;40,1;0,25;0,57;0,42;0,62;66,3;0,43;0,65;0,36;0,78;56,5;0,05;0,33;0,37;0,33;0,5;0,37;-24,9;81,4;30,4;360;77;0;223
199907061509;2;0,63;1;36344;0,84;1;3;621;612;502;6;11,6;6;2,91;-7,5;9,8;0,85;3,6;4;0,16;27;2,37;30;0,23;8;40,8;1,62;2,6;3,3;2,6;47;47;-0,31;6;-0,28;47;0,27;0;0,22;110,2;131,2;110,2;3;15;-36;52;0;16;16;55;44;1,71;14;1,64;0,47;2,66;16;1,12;0,84;-0,17;1,4;36,9;0,38;0,61;0,61;0,56;-0,06;1,24;0,56;353,9;0,26;-0,28;1,26;0,38;312,9;0,22;-0,06;1,07;0,23;344,7;-0,34;0;-0,17;0,34;0,38;0,17;164,7;180;12,7;139;77;0;186
199907311827;1;0,77;1;36369;0,34;1;4;504;506;634;2;7,7;-2;2,44;-6;6;0,78;0,99;-2;0,13;6;11,4;6;0,15;14;1,28;1,13;0,8;0,9;0,8;4;4;-0,62;4;-0,48;4;0,42;5;0,1;31,5;46,5;31,5;5,33;56;-37;4;0;-15;15;-3;15;1,35;12;1,34;-0,15;1,87;353,6;0,24;0,02;0,63;0,24;4,8;-0,09;-0,09;0,09;-0,04;0,13;-0,15;0,14;107,1;-0,05;0,31;-0,13;0,31;99,2;-0,04;0,61;0,16;0,61;93,8;0;0,48;0,31;0,48;0,57;0,31;3,8;90;63,6;360;77;0;223
199908151044;2;0,45;1;36383;0,91;-1;3;489;0;640;43;18,7;9;5,98;-7,2;16,5;0,88;3,68;14;0,49;-10;5,77;-3;0,09;17;139,6;4,02;2,3;3,8;2,3;47;42;-0,35;19;-0,31;2;0,16;39;0,12;90,7;62,3;62,3;5,33;56;-47;42;0;-16;16;4;75;0,74;14;0,6;0,44;1,28;36,3;0,29;-0,03;0,59;0,29;354,1;-0,26;-0,53;0,53;0,25;0,31;0,13;0,4;51,1;0,19;-0,09;-0,15;0,21;334,7;0,45;0;-0,29;0,45;0;0,2;-0,31;-0,42;0,37;0,56;0,42;57,2;302,8;70,5;0;0;0;74
200001111426;1;0,6;1;36533;0,67;-1;2;591;0;602;16;19,1;1;5,75;-14,4;14,4;0,75;2,85;1;1,02;31;1,75;42;0,23;5;19,25;9,31;0,6;2,3;0,6;2;7;-0,21;21;-0,21;4;0,22;3;0,03;30,4;166,6;30,4;5,33;56;-81;6;0;-11;11;-75;68;1,77;34;-0,74;1,61;2,35;114,7;0,05;0,75;0,46;0,75;86,2;-0,28;-0,36;0,36;0,15;0,6;-0,84;0,62;76;-0,23;0,36;-1;0,43;122,6;0,05;0,7;-0,68;0,7;85,9;-0,1;0,1;0,16;0,14;0,21;0,16;-49,1;135;11,5;0;0;0;133
200002110258;1;0,12;1;36564;0,36;1;4;627;629;505;2;10,7;2;2,7;-3,4;6,7;0,63;2,63;2;0,21;15;1,48;7;0,75;17;19,13;1,97;2,3;2,9;2,3;15;15;-0,32;15;-0,36;6;0,16;18;0,22;57;20,9;20,9;4,33;32;-27;18;0;25;25;-26;36;1,41;10;0,18;1,4;2,04;82,7;-1,03;0,07;-0,13;1,03;176,1;-0,39;-0,28;0,28;-0,01;0,3;0,91;0,3;91,9;0,05;0,58;0,34;0,58;85,1;0;0,91;0,34;0,91;90;0,01;0,61;-0,57;0,61;0,83;0,57;0,9;89,1;51,3;360;77;0;167
